"<string>:{series}:zhTW","<string>:{series}:jaJP","<string>:{series}:enUS","<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<number>:rare","<string>:type","<number>:attack","<number>:criticalRate","<number>:defense","<string>:{element}:{attack}:type","<number>:{element}:{attack}:minValue","<null>:{element}:{attack}:maxValue","<string>:{element}:{status}:type","<number>:{element}:{status}:minValue","<null>:{element}:{status}:maxValue","<number>:{sharpness}:red","<number>:{sharpness}:orange","<number>:{sharpness}:yellow","<number>:{sharpness}:green","<number>:{sharpness}:blue","<number>:{sharpness}:white","<null>:{sharpness}:purple","<number>:[slots]:{0}:size","<number>:[slots]:{1}:size","<number>:[slots]:{2}:size","<number>:{enhance}:amount","<string>:{enhance}:[list]:{0}:name","<string>:{enhance}:[list]:{1}:name","<string>:{enhance}:[list]:{2}:name","<string>:{enhance}:[list]:{3}:name","<string>:{enhance}:[list]:{4}:name","<string>:{enhance}:[list]:{5}:name","<string>:{enhance}:[list]:{6}:name","<string>:{enhance}:[list]:{7}:name","<string>:{enhance}:[list]:{8}:name","<string>:{enhance}:[list]:{9}:name","<string>:{enhance}:[list]:{10}:name","<string>:{enhance}:[list]:{11}:name","<string>:{enhance}:[list]:{12}:name","<string>:{enhance}:[list]:{13}:name","<string>:{enhance}:[list]:{14}:name","<string>:{enhance}:[list]:{15}:name","<string>:{enhance}:[list]:{16}:name","<string>:{enhance}:[list]:{17}:name","<string>:{enhance}:[list]:{18}:name","<string>:{enhance}:[list]:{19}:name","<string>:{enhance}:[list]:{20}:name","<string>:{enhance}:[list]:{21}:name","<string>:{enhance}:[list]:{22}:name","<string>:{enhance}:[list]:{23}:name","<string>:{enhance}:[list]:{24}:name","<string>:{enhance}:[list]:{25}:name","<string>:{enhance}:[list]:{26}:name","<string>:{enhance}:[list]:{27}:name","<string>:{enhance}:[list]:{28}:name","<string>:{enhance}:[list]:{29}:name","<string>:{enhance}:[list]:{30}:name","<string>:{enhance}:[list]:{31}:name","<string>:{enhance}:[list]:{32}:name","<string>:{enhance}:[list]:{33}:name","<string>:{enhance}:[list]:{34}:name"
"泡狐龍","あかねさす紫剣の朝斬","Great Sword Kamura","狐大劍東道宿夜花II","狐大剣ハナヤコヨヒノII","Hanayako Yohino II","5","greatSword","160","10","0","water","25","","","","","110","100","80","30","60","10","","1","","","1","屬性強化【水】II","攻擊力強化II","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"泡狐龍","あかねさす紫剣の朝斬","Great Sword Kamura","紅光紫劍之朝斬","あかねさす紫剣の朝斬","Akanesasu","6","greatSword","190","15","15","water","30","","","","","100","70","90","50","40","40","","1","","","5","屬性強化【水】II","攻擊力強化III","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鐵斧","ギガスワスター","Great Sword Kamura","玄鐵大劍I","メガスワスターI","Axeblade I","2","greatSword","120","0","0","","","","","","","100","60","80","4","","","","","","","1","鈍刃一擊","防禦力強化II","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鐵斧","ギガスワスター","Great Sword Kamura","玄鐵大劍II","メガスワスターII","Axeblade II","3","greatSword","150","0","0","","","","","","","70","80","80","20","","","","","","","1","鈍刃一擊","防禦力強化II","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鐵斧","ギガスワスター","Great Sword Kamura","玄鐵巨劍","ギガスワスター","Colossal Axeblade","4","greatSword","180","0","0","","","","","","","110","100","50","70","10","","","1","1","1","1","鈍刃一擊","防禦力強化III","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"土砂龍","ドラグロブレイド","Great Sword Kamura","土砂大劍I","ドラグロソードI","Carapace Sword I","2","greatSword","120","-20","0","","","","","","","50","60","120","20","","","","","","","1","悔恨一擊","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"土砂龍","ドラグロブレイド","Great Sword Kamura","土砂大劍II","ドラグロソードII","Carapace Sword II","2","greatSword","130","-20","0","","","","","","","50","60","110","70","10","","","","","","1","悔恨一擊","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"土砂龍","ドラグロブレイド","Great Sword Kamura","土砂巨劍","ドラグロブレイド","Carapace Blade","5","greatSword","200","-20","0","","","","","","","60","40","190","50","40","10","","","","","1","悔恨一擊","會心率強化II","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"轟龍","轟大剣【王虎】","Great Sword Kamura","轟龍大顎I","ティガノアギトI","Tiger Jawblade I","3","greatSword","150","-20","0","","","","","","","70","30","100","90","12","","","","","","1","悔恨一擊","攻擊力強化II","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"轟龍","轟大剣【王虎】","Great Sword Kamura","轟龍大顎II","ティガノアギトII","Tiger Jawblade II","6","greatSword","200","-20","0","","","","","","","50","30","130","100","70","10","","1","","","1","悔恨一擊","攻擊力強化II","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"轟龍","轟大剣【王虎】","Great Sword Kamura","轟大劍【王虎】","轟大剣【王虎】","Tigrex Great Sword","6","greatSword","210","-15","0","","","","","","","50","40","120","120","50","20","","1","","","1","悔恨一擊","攻擊力強化III","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"奇怪龍","フルミナントブレイド","Great Sword Kamura","奇怪龍大劍I","フルミナントソードI","Khezu Shock Sword I","2","greatSword","90","0","0","thunder","30","","","","","70","50","50","40","","","","","","","1","屬性強化【雷】I","攻擊力強化II","雷異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"奇怪龍","フルミナントブレイド","Great Sword Kamura","奇怪龍大劍II","フルミナントソードII","Khezu Shock Sword II","3","greatSword","110","0","0","thunder","35","","","","","70","70","70","40","","","","","","","1","屬性強化【雷】I","攻擊力強化III","雷異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"奇怪龍","フルミナントブレイド","Great Sword Kamura","奇怪龍長劍","フルミナントブレイド","Khezu Shock Blade","4","greatSword","140","0","0","thunder","40","","","","","100","40","70","70","50","10","","2","","","1","屬性強化【雷】II","攻擊力強化IV","雷異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鐮鼬龍","ヴィンゼルブレイド","Great Sword Kamura","鐮鼬龍刀I","イーズルブレイドI","Izuchi Blade I","1","greatSword","60","10","0","","","","","","","30","70","140","10","","","","","","","1","小型特效","會心率強化I","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鐮鼬龍","ヴィンゼルブレイド","Great Sword Kamura","鐮鼬龍刀II","イーズルブレイドII","Izuchi Blade II","1","greatSword","80","12","0","","","","","","","30","70","70","28","","","","","","","1","小型特效","會心率強化II","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"鐮鼬龍","ヴィンゼルブレイド","Great Sword Kamura","鐮鼬風刀","ヴィンゼルブレイド","Snapper Blade","4","greatSword","150","15","0","","","","","","","50","90","70","70","20","","","2","1","","1","小型特效","會心率強化III","隨從指示術","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"翼蛇龍","蛇剣【毒蛇】","Great Sword Kamura","蛇劍【毒蛾】I","蛇剣【毒蛾】I","Deadly Serpentblade I","2","greatSword","90","0","0","","","","poison","40","","40","60","80","20","","","","","","","1","屬性強化【毒】I","攻擊力強化II","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"翼蛇龍","蛇剣【毒蛇】","Great Sword Kamura","蛇劍【毒蛾】II","蛇剣【毒蛾】II","Deadly Serpentblade II","3","greatSword","100","0","0","","","","poison","42","","60","40","50","60","","","","","","","1","屬性強化【毒】I","攻擊力強化III","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"翼蛇龍","蛇剣【毒蛇】","Great Sword Kamura","蛇劍【毒蛇】","蛇剣【毒蛇】","Poison Serpentblade","5","greatSword","160","0","0","","","","poison","45","","130","20","70","70","50","10","","2","1","1","1","屬性強化【毒】I","攻擊力強化IV","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"迅龍","暗夜剣【宵闇】","Great Sword Kamura","隱密鉤斬劍I","ヒドゥンブレイズI","Hidden Blade I","3","greatSword","110","30","0","","","","","","","50","70","80","100","40","","","","","","1","操龍達人","攻擊力強化II","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"迅龍","暗夜剣【宵闇】","Great Sword Kamura","隱密鉤斬劍II","ヒドゥンブレイズII","Hidden Blade II","5","greatSword","160","30","0","","","","","","","100","30","70","100","80","10","","2","","","1","操龍達人","攻擊力強化III","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"迅龍","暗夜剣【宵闇】","Great Sword Kamura","暗夜劍【宵闇】","暗夜剣【宵闇】","Dark of Night","6","greatSword","180","35","0","","","","","","","70","40","120","90","60","20","","2","","","1","操龍達人","攻擊力強化III","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"人魚龍","夢幻のメロウドロウ","Great Sword Kamura","人魚之劍I","メロウドロウI","Frilled Blade I","2","greatSword","90","0","0","","","","sleep","16","","50","50","120","32","","","","","","","1","屬性強化【睡眠】I","攻擊力強化I","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"人魚龍","夢幻のメロウドロウ","Great Sword Kamura","人魚之劍II","メロウドロウII","Frilled Blade II","4","greatSword","120","0","0","","","","sleep","19","","40","60","110","40","","","","1","1","","1","屬性強化【睡眠】I","攻擊力強化II","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"人魚龍","夢幻のメロウドロウ","Great Sword Kamura","夢幻人魚之劍","夢幻のメロウドロウ","Illusory Frilled Blade","5","greatSword","160","0","0","","","","sleep","22","","50","90","120","120","10","","","2","1","","1","屬性強化【睡眠】I","攻擊力強化III","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","クロームデスレイザー","Great Sword Ore","鐵劍I","アイアンソードI","Iron Sword I","1","greatSword","80","0","0","","","","","","","80","70","60","","","","","","","","1","攻擊力強化I","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","クロームデスレイザー","Great Sword Ore","鋼鐵劍","スティールソード","Steel Sword","1","greatSword","100","0","0","","","","","","","70","60","60","","","","","","","","1","攻擊力強化I","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","クロームデスレイザー","Great Sword Ore","巨劍I","バスターソードI","Buster Sword I","2","greatSword","110","0","0","","","","","","","60","60","60","20","","","","","","","1","攻擊力強化II","會心率強化I","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","クロームデスレイザー","Great Sword Ore","巨刃劍","バスターブレイド","Buster Blade","3","greatSword","140","0","0","","","","","","","70","60","70","60","","","","","","","1","攻擊力強化II","鐵蟲絲招式強化","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","クロームデスレイザー","Great Sword Ore","鉻鋼剃刀I","クロームレイザーI","Chrome Razor I","4","greatSword","160","0","0","","","","poison","35","","60","70","100","100","10","","","1","1","","1","屬性強化【毒】I","攻擊力強化II","鐵蟲絲招式強化","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"礦石素材","クロームデスレイザー","Great Sword Ore","鉻鋼死亡剃刀","クロームデスレイザー","Chrome Quietus","5","greatSword","180","0","0","","","","poison","40","","80","40","90","70","50","10","","1","1","","1","屬性強化【毒】I","攻擊力強化III","鐵蟲絲招式強化","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火屬","クリムゾンゴート","Great Sword Ore","灼炎大刀I","バルバロイブレイドI","Barbaroi Blade I","2","greatSword","100","0","10","fire","40","","","","","70","40","120","20","","","","","","","1","攻擊力強化III","防禦力強化II","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火屬","クリムゾンゴート","Great Sword Ore","灼炎大刀II","バルバロイブレイドII","Barbaroi Blade II","3","greatSword","130","0","15","fire","42","","","","","60","50","110","32","","","","","","","1","攻擊力強化III","防禦力強化II","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火屬","クリムゾンゴート","Great Sword Ore","深紅羊首大刀","クリムゾンゴート","Crimson Goat","5","greatSword","160","0","20","fire","45","","","","","50","60","150","30","12","","","2","1","","1","攻擊力強化IV","防禦力強化II","防禦研磨術II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"毒妖鳥","毒妖大剣ヒルヴハルク","Great Sword Ore","毒妖鳥大劍I","ヒルバーブレイドI","Pukei Edge I","2","greatSword","100","0","0","","","","poison","24","","60","70","30","40","","","","","","","","屬性強化【毒】I","攻擊力強化II","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"毒妖鳥","毒妖大剣ヒルヴハルク","Great Sword Ore","毒妖鳥大劍II","ヒルバーブレイドII","Pukei Edge II","3","greatSword","130","0","0","","","","poison","30","","60","90","40","60","","","","","","","","屬性強化【毒】I","攻擊力強化III","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"毒妖鳥","毒妖大剣ヒルヴハルク","Great Sword Ore","毒妖大劍希爾博哈克","毒妖大剣ヒルヴハルク","Datura Cleaver","5","greatSword","170","0","0","","","","poison","36","","60","60","50","90","40","","","2","1","","1","屬性強化【毒】II","攻擊力強化III","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰牙龍","グラシュバリエ","Great Sword Ore","冰尖巨牙I","アイシクルファングI","Icicle Fang I","2","greatSword","100","30","0","ice","30","","","","","50","60","70","100","10","","","","","","1","冰異常特效","攻擊力強化II","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰牙龍","グラシュバリエ","Great Sword Ore","冰尖巨牙II","アイシクルファングII","Icicle Fang II","3","greatSword","120","30","0","ice","34","","","","","40","70","70","100","20","","","","","","1","冰異常特效","攻擊力強化III","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"冰牙龍","グラシュバリエ","","斷海冰牙","グラシュバリエ","Paladire","5","greatSword","160","35","","ice","38","","","","","50","70","80","100","70","20","","2","","","","冰異常特效","攻擊力強化IV","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"傘鳥","暁の大剣シルヴァリエ","Great Sword Ore","傘之大劍I","シルムズブレイドI","Aknosom Blade I","2","greatSword","100","0","0","fire","20","","","","","30","50","80","40","","","","","","","1","屬性強化【火】I","攻擊力強化I","火異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"傘鳥","暁の大剣シルヴァリエ","Great Sword Ore","傘之大劍II","シルムズブレイドII","Aknosom Blade II","3","greatSword","130","0","0","fire","23","","","","","30","50","90","88","","","","","","","1","屬性強化【火】I","攻擊力強化II","火異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"傘鳥","暁の大剣シルヴァリエ","Great Sword Ore","破曉大劍希瓦里耶","暁の大剣シルヴァリエ","Daybreak Cleaver","4","greatSword","160","0","0","fire","27","","","","","30","50","80","130","40","10","","2","","","1","屬性強化【火】II","攻擊力強化II","火異常特效","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"河童蛙","","Great Sword Ore","全身逼擠I","ヨリ斬リI","Tetranadon Edge I","2","greatSword","110","0","10","water","18","","","","","30","60","90","20","","","","","","","1","屬性強化【水】I","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"河童蛙","","Great Sword Ore","全身逼擠II","ヨリ斬リII","Tetranadon Edge II","3","greatSword","130","0","15","water","20","","","","","30","90","100","28","","","","","","","1","屬性強化【水】II","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"河童蛙","蛙式・ヨリ斬リ","Great Sword Ore","蛙式・全身逼擠","蛙式・ヨリ斬リ","Tetranadon Cutter","4","greatSword","160","0","20","water","24","","","","","40","90","110","100","10","","","2","","","1","屬性強化【水】III","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","コウリュウノキバ","","骨劍I","ボーンブレイドI","Bone Blade I","1","greatSword","90","","","","","","","","","70","90","80","","","","","","","","","攻擊力強化II","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","コウリュウノキバ","Great Sword Bone","斬骨劍","ボーンスラッシャー","Bone Slasher","1","greatSword","110","0","0","","","","","","","80","70","48","","","","","","","","1","攻擊力強化II","會心率強化I","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","コウリュウノキバ","Great Sword Bone","龍顎I","アギトI","Jawblade I","2","greatSword","120","0","0","","","","","","","100","40","60","","","","","","","","1","攻擊力強化II","會心率強化II","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","コウリュウノキバ","Great Sword Bone","大龍顎","オオアギト","Giant Jawblade","2","greatSword","130","0","0","","","","","","","90","90","110","10","","","","","","","1","攻擊力強化II","會心率強化II","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","コウリュウノキバ","Great Sword Bone","龍之牙I","リュウノキバI","Wyvern Fang I","3","greatSword","150","0","0","dragon","27","","","","","90","30","110","20","","","","","","","1","屬性強化【龍】I","攻擊力強化III","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材","","Great Sword Bone","亢龍之牙","コウリュウノキバ","Great Wyvern Fang","5","greatSword","180","0","0","dragon","30","","","","","90","50","120","70","10","","","1","1","","1","屬性強化【龍】I","攻擊力強化IV","鈍刃一擊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材2","剛剣ターロス","Great Sword Bone","巨骨劍I","ゴーレムブレイドI","Golem Blade I","4","greatSword","180","0","0","","","","","","","110","60","70","40","20","","","","","","1","會心率強化II","鐵蟲絲招式強化","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"骨素材2","剛剣ターロス","Great Sword Bone","剛劍塔羅斯","剛剣ターロス","Blade of Talos","5","greatSword","200","0","0","","","","","","","90","70","80","80","60","10","","","","","1","會心率強化III","鐵蟲絲招式強化","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雌火龍","ジークリンデ","Great Sword Bone","女武神骨劍I","ヴァルキリーブレイドI","Valkyrie Blade I","5","greatSword","170","0","0","","","","poison","22","","60","70","90","100","20","","","","","","1","小型特效","屬性強化【毒】I","攻擊力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雌火龍","ジークリンデ","Great Sword Bone","女武神骨劍II","ヴァルキリーブレイドII","Valkyrie Blade II","5","greatSword","180","0","0","","","","poison","25","","60","60","100","110","20","","","","","","1","小型特效","屬性強化【毒】I","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雌火龍","ジークリンデ","Great Sword Bone","齊格琳德王后","ジークリンデ","Sieglinde","6","greatSword","210","0","0","","","","poison","28","","90","40","110","70","70","10","","","","","1","小型特效","屬性強化【毒】I","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"泥魚龍","リムズバロヴェルト","Great Sword Bone","泥土大劍I","リームスクリンガI","Jyura Mudblade I","5","greatSword","190","-10","0","water","15","","","","","130","90","30","90","8","","","","","","1","屬性強化【水】I","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"泥魚龍","リムズバロヴェルト","Great Sword Bone","泥土大劍II","リームスクリンガII","Jyura Mudblade II","5","greatSword","200","-10","0","water","17","","","","","130","70","30","90","60","10","","","","","1","屬性強化【水】II","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"泥魚龍","リムズバロヴェルト","Great Sword Bone","泥流大劍","リムズバロヴェルト","Terracutter","6","greatSword","210","-10","0","water","20","","","","","120","70","30","80","80","10","","","","","1","屬性強化【水】II","悔恨一擊","會心率強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火龍","炎剣リオレウス","Great Sword Bone","赤紅之翼I","レッドウィングI","Red Wing I","5","greatSword","180","0","0","fire","36","","","","","70","80","80","110","50","10","","1","","","1","屬性強化【火】I","弱點特效【屬性】","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火龍","炎剣リオレウス","Great Sword Bone","赤紅之翼II","レッドウィングII","Red Wing II","6","greatSword","190","0","0","fire","38","","","","","50","40","120","120","50","10","","1","","","1","屬性強化【火】I","弱點特效【屬性】","攻擊力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"火龍","炎剣リオレウス","Great Sword Bone","火龍大劍","炎剣リオレウス","Rathalos Firesword","6","greatSword","210","0","0","fire","40","","","","","40","40","110","120","60","10","","1","","","1","屬性強化【火】I","弱點特效【屬性】","攻擊力強化III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"角龍","カイラライホーン","Great Sword Bone","不諧對角I","クオーラルホーンI","Quarrel Hornsword I","3","greatSword","170","-25","8","","","","","","","60","40","50","110","30","","","","","","1","會心率強化I","鈍刃一擊","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"角龍","カイラライホーン","Great Sword Bone","不諧對角II","クオーラルホーンII","Quarrel Hornsword II","6","greatSword","210","-25","12","","","","","","","100","70","30","120","70","10","","","","","1","會心率強化II","防禦力強化I","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"角龍","カイラライホーン","Great Sword Bone","突兀之角","カイラライホーン","Feud Hornsword","6","greatSword","230","-25","16","","","","","","","40","60","80","120","80","10","","","","","1","會心率強化III","防禦力強化II","防禦研磨術I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
