"<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<string>:{description}:zhTW","<string>:{description}:jaJP","<string>:{description}:enUS","<string>:level","<string>:{effect}:zhTW","<string>:{effect}:jaJP","<string>:{effect}:enUS"
"超會心","超会心","Critical Boost","增加會心攻擊的傷害。","会心攻撃のダメージが増加する。","Increases the damage of critical hits.","3","會心攻擊時的傷害倍率增強為1.4倍。","会心攻撃時のダメージ倍率を1.4倍に強化する。","Increases damage dealt by critical hits to 40%."
"弱點特效","弱点特効","Weakness Exploit","攻擊魔物時，若對該部分的攻擊極有效果，會心率就會提升。","モンスターを攻撃した際、その部位に攻撃がかなり有効であれば、会心率が上がる。","Increases the affinity of attacks that exploit a monster weak spot.","1","攻擊有效部位時，會心率+15%。","有効部位への攻撃時、会心率+15%。","Attacks that hit weak spots have 15% increased affinity."
"弱點特效","弱点特効","Weakness Exploit","攻擊魔物時，若對該部分的攻擊極有效果，會心率就會提升。","モンスターを攻撃した際、その部位に攻撃がかなり有効であれば、会心率が上がる。","Increases the affinity of attacks that exploit a monster weak spot.","2","攻擊有效部位時，會心率+30%。","有効部位への攻撃時、会心率+30%。","Attacks that hit weak spots have 30% increased affinity."
"弱點特效","弱点特効","Weakness Exploit","攻擊魔物時，若對該部分的攻擊極有效果，會心率就會提升。","モンスターを攻撃した際、その部位に攻撃がかなり有効であれば、会心率が上がる。","Increases the affinity of attacks that exploit a monster weak spot.","3","攻擊有效部位時，會心率+50%。","有効部位への攻撃時、会心率+50%。","Attacks that hit weak spots have 50% increased affinity."
"力量解放","力の解放","Latent Power","滿足特定條件後，一定時間內提高會心率，減輕消耗耐力行動的消耗量。","特定の条件を満たすと、一定時間会心率が上昇し、スタミナを消費する行動の消費量が軽減される。","Temporarily increases affinity and reduces stamina depletion when certain conditions are met.","1","技能發動時，會心率+10%耐力消耗量減少30%。","スキル発動中、会心率+10%スタミナ消費量30%軽減。","While active, increases affinity by 10% and reduces stamina depletion by 30%."
"力量解放","力の解放","Latent Power","滿足特定條件後，一定時間內提高會心率，減輕消耗耐力行動的消耗量。","特定の条件を満たすと、一定時間会心率が上昇し、スタミナを消費する行動の消費量が軽減される。","Temporarily increases affinity and reduces stamina depletion when certain conditions are met.","2","技能發動時，會心率+20%耐力消耗量減少30%。","スキル発動中、会心率+20%スタミナ消費量30%軽減。","While active, increases affinity by 20% and reduces stamina depletion by 30%."
"力量解放","力の解放","Latent Power","滿足特定條件後，一定時間內提高會心率，減輕消耗耐力行動的消耗量。","特定の条件を満たすと、一定時間会心率が上昇し、スタミナを消費する行動の消費量が軽減される。","Temporarily increases affinity and reduces stamina depletion when certain conditions are met.","3","技能發動時，會心率+30%耐力消耗量減少50%。","スキル発動中、会心率+30%スタミナ消費量50%軽減。","While active, increases affinity by 30% and reduces stamina depletion by 50%."
"力量解放","力の解放","Latent Power","滿足特定條件後，一定時間內提高會心率，減輕消耗耐力行動的消耗量。","特定の条件を満たすと、一定時間会心率が上昇し、スタミナを消費する行動の消費量が軽減される。","Temporarily increases affinity and reduces stamina depletion when certain conditions are met.","4","技能發動時，會心率+40%耐力消耗量減少50%。","スキル発動中、会心率+40%スタミナ消費量50%軽減。","While active, increases affinity by 40% and reduces stamina depletion by 50%."
"力量解放","力の解放","Latent Power","滿足特定條件後，一定時間內提高會心率，減輕消耗耐力行動的消耗量。","特定の条件を満たすと、一定時間会心率が上昇し、スタミナを消費する行動の消費量が軽減される。","Temporarily increases affinity and reduces stamina depletion when certain conditions are met.","5","技能發動時，會心率+50%耐力消耗量減少50%。","スキル発動中、会心率+50%スタミナ消費量50%軽減。","While active, increases affinity by 50% and reduces stamina depletion by 50%."
"精神抖擻","渾身","Maximum Might","維持耐力計量表全滿狀態一段時間後，會心率會上升。","スタミナゲージが満タンの状態をしばらく維持していると、会心率が上がる。","Increases affinity if stamina is kept full for a period of time.","1","效果發動時，會心率+10%。","効果発動時、会心率+10%。","While active, increases affinity by 10%."
"精神抖擻","渾身","Maximum Might","維持耐力計量表全滿狀態一段時間後，會心率會上升。","スタミナゲージが満タンの状態をしばらく維持していると、会心率が上がる。","Increases affinity if stamina is kept full for a period of time.","2","效果發動時，會心率+20%。","効果発動時、会心率+20%。","While active, increases affinity by 20%."
"精神抖擻","渾身","Maximum Might","維持耐力計量表全滿狀態一段時間後，會心率會上升。","スタミナゲージが満タンの状態をしばらく維持していると、会心率が上がる。","Increases affinity if stamina is kept full for a period of time.","3","效果發動時，會心率+30%。","効果発動時、会心率+30%。","While active, increases affinity by 30%."
"會心擊【屬性】","会心撃【属性】","Critical Element","因攻擊而出現會心時，所造成的屬性傷害(火、水、雷、冰、龍)會提高。","攻撃で会心が発生した際に、与える属性ダメージ(火、水、雷、氷、龍)が高くなる。","Increases elemental damage (fire, water, thunder, ice, dragon) when landing critical hits.","1","效果發動時，屬性傷害變為1.05倍。","効果発動時、属性ダメージ1.05倍。","Grants elemental damage +5% while active."
"會心擊【屬性】","会心撃【属性】","Critical Element","因攻擊而出現會心時，所造成的屬性傷害(火、水、雷、冰、龍)會提高。","攻撃で会心が発生した際に、与える属性ダメージ(火、水、雷、氷、龍)が高くなる。","Increases elemental damage (fire, water, thunder, ice, dragon) when landing critical hits.","2","效果發動時，屬性傷害變為1.1倍。","効果発動時、属性ダメージ1.1倍。","Grants elemental damage +10% while active."
"會心擊【屬性】","会心撃【属性】","Critical Element","因攻擊而出現會心時，所造成的屬性傷害(火、水、雷、冰、龍)會提高。","攻撃で会心が発生した際に、与える属性ダメージ(火、水、雷、氷、龍)が高くなる。","Increases elemental damage (fire, water, thunder, ice, dragon) when landing critical hits.","3","效果發動時，屬性傷害變為1.15倍。","効果発動時、属性ダメージ1.15倍。","Grants elemental damage +15% while active."
"達人藝","達人芸","Master's Touch","發生會心攻擊時，銳利度消耗較少。","会心発生時、斬れ味の消費を抑える。","Prevents your weapon from losing sharpness during critical hits.","1","效果發動時，有20%機率不會消耗銳利度。","効果発動時、20%で斬れ味を消費しない。","Grants a 20% chance of no sharpness loss while active."
"達人藝","達人芸","Master's Touch","發生會心攻擊時，銳利度消耗較少。","会心発生時、斬れ味の消費を抑える。","Prevents your weapon from losing sharpness during critical hits.","2","效果發動時，有40%機率不會消耗銳利度。","効果発動時、40%で斬れ味を消費しない。","Grants a 40% chance of no sharpness loss while active."
"達人藝","達人芸","Master's Touch","發生會心攻擊時，銳利度消耗較少。","会心発生時、斬れ味の消費を抑える。","Prevents your weapon from losing sharpness during critical hits.","3","效果發動時，有80%機率不會消耗銳利度。","効果発動時、80%で斬れ味を消費しない。","Grants an 80% chance of no sharpness loss while active."
"火屬性攻擊強化","火属性攻撃強化","Fire Attack","強化火屬性之力。(武器屬性值的強化有其上限)。","火属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases fire element attack power. (Elemental attack power has a maximum limit.)","1","火屬性攻擊值+2。","火属性攻撃値+2。","Fire attack +2"
"火屬性攻擊強化","火属性攻撃強化","Fire Attack","強化火屬性之力。(武器屬性值的強化有其上限)。","火属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases fire element attack power. (Elemental attack power has a maximum limit.)","2","火屬性攻擊值+3。","火属性攻撃値+3。","Fire attack +3"
"火屬性攻擊強化","火属性攻撃強化","Fire Attack","強化火屬性之力。(武器屬性值的強化有其上限)。","火属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases fire element attack power. (Elemental attack power has a maximum limit.)","3","火屬性攻擊值變為1.05倍，火屬性攻擊值+4。","火属性攻撃値を1.05倍し、火属性攻撃値に+4。","Fire attack +5% Bonus: +4"
"火屬性攻擊強化","火属性攻撃強化","Fire Attack","強化火屬性之力。(武器屬性值的強化有其上限)。","火属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases fire element attack power. (Elemental attack power has a maximum limit.)","4","火屬性攻擊值變為1.1倍，火屬性攻擊值+4。","火属性攻撃値を1.1倍し、火属性攻撃値に+4。","Fire attack +10% Bonus: +4"
"火屬性攻擊強化","火属性攻撃強化","Fire Attack","強化火屬性之力。(武器屬性值的強化有其上限)。","火属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases fire element attack power. (Elemental attack power has a maximum limit.)","5","火屬性攻擊值變為1.2倍，火屬性攻擊值+4。","火属性攻撃値を1.2倍し、火属性攻撃値に+4。","Fire attack +20% Bonus: +4"
"水屬性攻擊強化","水属性攻撃強化","Water Attack","強化水屬性之力。(武器屬性值的強化有其上限)。","水属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases water element attack power. (Elemental attack power has a maximum limit.)","1","水屬性攻擊值+2。","水属性攻撃値+2。","Water attack +2"
"水屬性攻擊強化","水属性攻撃強化","Water Attack","強化水屬性之力。(武器屬性值的強化有其上限)。","水属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases water element attack power. (Elemental attack power has a maximum limit.)","2","水屬性攻擊值+3。","水属性攻撃値+3。","Water attack +3"
"水屬性攻擊強化","水属性攻撃強化","Water Attack","強化水屬性之力。(武器屬性值的強化有其上限)。","水属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases water element attack power. (Elemental attack power has a maximum limit.)","3","水屬性攻擊值變為1.05倍，水屬性攻擊值+4。","水属性攻撃値を1.05倍し、水属性攻撃値に+4。","Water attack +5% Bonus: +4"
"水屬性攻擊強化","水属性攻撃強化","Water Attack","強化水屬性之力。(武器屬性值的強化有其上限)。","水属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases water element attack power. (Elemental attack power has a maximum limit.)","4","水屬性攻擊值變為1.1倍，水屬性攻擊值+4。","水属性攻撃値を1.1倍し、水属性攻撃値に+4。","Water attack +10% Bonus: +4"
"水屬性攻擊強化","水属性攻撃強化","Water Attack","強化水屬性之力。(武器屬性值的強化有其上限)。","水属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases water element attack power. (Elemental attack power has a maximum limit.)","5","水屬性攻擊值變為1.2倍，水屬性攻擊值+4。","水属性攻撃値を1.2倍し、水属性攻撃値に+4。","Water attack +20% Bonus: +4"
"冰屬性攻擊強化","氷属性攻撃強化","Ice Attack","強化冰屬性之力。(武器屬性值的強化有其上限)。","氷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases ice element attack power. (Elemental attack power has a maximum limit.)","1","冰屬性攻擊值+2。","氷属性攻撃値+2。","Ice attack +2"
"冰屬性攻擊強化","氷属性攻撃強化","Ice Attack","強化冰屬性之力。(武器屬性值的強化有其上限)。","氷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases ice element attack power. (Elemental attack power has a maximum limit.)","2","冰屬性攻擊值+3。","氷属性攻撃値+3。","Ice attack +3"
"冰屬性攻擊強化","氷属性攻撃強化","Ice Attack","強化冰屬性之力。(武器屬性值的強化有其上限)。","氷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases ice element attack power. (Elemental attack power has a maximum limit.)","3","冰屬性攻擊值變為1.05倍，冰屬性攻擊值+4。","氷属性攻撃値を1.05倍し、氷属性攻撃値に+4。","Ice attack +5% Bonus: +4"
"冰屬性攻擊強化","氷属性攻撃強化","Ice Attack","強化冰屬性之力。(武器屬性值的強化有其上限)。","氷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases ice element attack power. (Elemental attack power has a maximum limit.)","4","冰屬性攻擊值變為1.1倍，冰屬性攻擊值+4。","氷属性攻撃値を1.1倍し、氷属性攻撃値に+4。","Ice attack +10% Bonus: +4"
"冰屬性攻擊強化","氷属性攻撃強化","Ice Attack","強化冰屬性之力。(武器屬性值的強化有其上限)。","氷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases ice element attack power. (Elemental attack power has a maximum limit.)","5","冰屬性攻擊值變為1.2倍，冰屬性攻擊值+4。","氷属性攻撃値を1.2倍し、氷属性攻撃値に+4。","Ice attack +20% Bonus: +4"
"雷屬性攻擊強化","雷属性攻撃強化","Thunder Attack","強化雷屬性之力。(武器屬性值的強化有其上限)。","雷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases thunder element attack power. (Elemental attack power has a maximum limit.)","1","雷屬性攻擊值+2。","雷属性攻撃値+2。","Thunder attack +2"
"雷屬性攻擊強化","雷属性攻撃強化","Thunder Attack","強化雷屬性之力。(武器屬性值的強化有其上限)。","雷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases thunder element attack power. (Elemental attack power has a maximum limit.)","2","雷屬性攻擊值+3。","雷属性攻撃値+3。","Thunder attack +3"
"雷屬性攻擊強化","雷属性攻撃強化","Thunder Attack","強化雷屬性之力。(武器屬性值的強化有其上限)。","雷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases thunder element attack power. (Elemental attack power has a maximum limit.)","3","雷屬性攻擊值變為1.05倍，雷屬性攻擊值+4。","雷属性攻撃値を1.05倍し、雷属性攻撃値に+4。","Thunder attack +5% Bonus: +4"
"雷屬性攻擊強化","雷属性攻撃強化","Thunder Attack","強化雷屬性之力。(武器屬性值的強化有其上限)。","雷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases thunder element attack power. (Elemental attack power has a maximum limit.)","4","雷屬性攻擊值變為1.1倍，雷屬性攻擊值+4。","雷属性攻撃値を1.1倍し、雷属性攻撃値に+4。","Thunder attack +10% Bonus: +4"
"雷屬性攻擊強化","雷属性攻撃強化","Thunder Attack","強化雷屬性之力。(武器屬性值的強化有其上限)。","雷属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases thunder element attack power. (Elemental attack power has a maximum limit.)","5","雷屬性攻擊值變為1.2倍，雷屬性攻擊值+4。","雷属性攻撃値を1.2倍し、雷属性攻撃値に+4。","Thunder attack +20% Bonus: +4"
"龍屬性攻擊強化","龍属性攻撃強化","Dragon Attack","強化龍屬性之力。(武器屬性值的強化有其上限)。","龍属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases dragon element attack power. (Elemental attack power has a maximum limit.)","1","龍屬性攻擊值+2。","龍属性攻撃値+2。","Dragon attack +2"
"龍屬性攻擊強化","龍属性攻撃強化","Dragon Attack","強化龍屬性之力。(武器屬性值的強化有其上限)。","龍属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases dragon element attack power. (Elemental attack power has a maximum limit.)","2","龍屬性攻擊值+3。","龍属性攻撃値+3。","Dragon attack +3"
"龍屬性攻擊強化","龍属性攻撃強化","Dragon Attack","強化龍屬性之力。(武器屬性值的強化有其上限)。","龍属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases dragon element attack power. (Elemental attack power has a maximum limit.)","3","龍屬性攻擊值變為1.05倍，龍屬性攻擊值+4。","龍属性攻撃値を1.05倍し、龍属性攻撃値に+4。","Dragon attack +5% Bonus: +4"
"龍屬性攻擊強化","龍属性攻撃強化","Dragon Attack","強化龍屬性之力。(武器屬性值的強化有其上限)。","龍属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases dragon element attack power. (Elemental attack power has a maximum limit.)","4","龍屬性攻擊值變為1.1倍，龍屬性攻擊值+4。","龍属性攻撃値を1.1倍し、龍属性攻撃値に+4。","Dragon attack +10% Bonus: +4"
"龍屬性攻擊強化","龍属性攻撃強化","Dragon Attack","強化龍屬性之力。(武器屬性值的強化有其上限)。","龍属性の力を強化する。(武器の属性値の強化には、上限があります)。","Increases dragon element attack power. (Elemental attack power has a maximum limit.)","5","龍屬性攻擊值變為1.2倍，龍屬性攻擊值+4。","龍属性攻撃値を1.2倍し、龍属性攻撃値に+4。","Dragon attack +20% Bonus: +4"
"毒屬性強化","毒属性強化","Poison Attack","強化毒屬性的累積值。(武器屬性值的強化有其上限)。","毒属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of poison buildup. (Poison buildup has a maximum limit.)","1","毒素累積值變為1.05倍，毒素累積值+1。","毒の蓄積値を1.05倍し、毒の蓄積値に+1。","Poison buildup +5% Bonus: +1"
"毒屬性強化","毒属性強化","Poison Attack","強化毒屬性的累積值。(武器屬性值的強化有其上限)。","毒属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of poison buildup. (Poison buildup has a maximum limit.)","2","毒素累積值變為1.1倍，毒素累積值+2。","毒の蓄積値を1.1倍し、毒の蓄積値に+2。","Poison buildup +10% Bonus: +2"
"毒屬性強化","毒属性強化","Poison Attack","強化毒屬性的累積值。(武器屬性值的強化有其上限)。","毒属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of poison buildup. (Poison buildup has a maximum limit.)","3","毒素累積值變為1.2倍，毒素累積值+5。","毒の蓄積値を1.2倍し、毒の蓄積値に+5。","Poison buildup +20% Bonus: +5"
"麻痺屬性強化","麻痺属性強化","Paralysis Attack","強化麻痺屬性的累積值。(武器屬性值的強化有其上限)。","麻痺属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of paralysis buildup. (Paralysis buildup has a maximum limit.)","1","麻痺累積值變為1.05倍，麻痺累積值+1。","麻痺の蓄積値を1.05倍し、麻痺の蓄積値に+1。","Paralysis buildup +5% Bonus: +1"
"麻痺屬性強化","麻痺属性強化","Paralysis Attack","強化麻痺屬性的累積值。(武器屬性值的強化有其上限)。","麻痺属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of paralysis buildup. (Paralysis buildup has a maximum limit.)","2","麻痺累積值變為1.1倍，麻痺累積值+2。","麻痺の蓄積値を1.1倍し、麻痺の蓄積値に+2。","Paralysis buildup +10% Bonus: +2"
"麻痺屬性強化","麻痺属性強化","Paralysis Attack","強化麻痺屬性的累積值。(武器屬性值的強化有其上限)。","麻痺属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of paralysis buildup. (Paralysis buildup has a maximum limit.)","3","麻痺累積值變為1.2倍，麻痺累積值+5。","麻痺の蓄積値を1.2倍し、麻痺の蓄積値に+5。","Paralysis buildup +20% Bonus: +5"
"睡眠屬性強化","睡眠属性強化","Sleep Attack","強化睡眠屬性的累積值。(武器屬性值的強化有其上限)。","睡眠属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of sleep buildup. (Sleep buildup has a maximum limit.)","1","睡眠累積值變為1.05倍，睡眠累積值+1。","睡眠の蓄積値を1.05倍し、睡眠の蓄積値に+1。","Sleep buildup +5% Bonus: +1"
"睡眠屬性強化","睡眠属性強化","Sleep Attack","強化睡眠屬性的累積值。(武器屬性值的強化有其上限)。","睡眠属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of sleep buildup. (Sleep buildup has a maximum limit.)","2","睡眠累積值變為1.1倍，睡眠累積值+2。","睡眠の蓄積値を1.1倍し、睡眠の蓄積値に+2。","Sleep buildup +10% Bonus: +2"
"睡眠屬性強化","睡眠属性強化","Sleep Attack","強化睡眠屬性的累積值。(武器屬性值的強化有其上限)。","睡眠属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of sleep buildup. (Sleep buildup has a maximum limit.)","3","睡眠累積值變為1.2倍，睡眠累積值+5。","睡眠の蓄積値を1.2倍し、睡眠の蓄積値に+5。","Sleep buildup +20% Bonus: +5"
"爆破屬性強化","爆破属性強化","Blast Attack","強化爆破屬性的累積值。(武器屬性值的強化有其上限)。","爆破属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of blast buildup. (Blast buildup has a maximum limit.)","1","爆破累積值變為1.05倍，爆破累積值+1。","爆破の蓄積値を1.05倍し、爆破の蓄積値に+1。","Blast buildup +5% Bonus: +1"
"爆破屬性強化","爆破属性強化","Blast Attack","強化爆破屬性的累積值。(武器屬性值的強化有其上限)。","爆破属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of blast buildup. (Blast buildup has a maximum limit.)","2","爆破累積值變為1.1倍，爆破累積值+2。","爆破の蓄積値を1.1倍し、爆破の蓄積値に+2。","Blast buildup +10% Bonus: +2"
"爆破屬性強化","爆破属性強化","Blast Attack","強化爆破屬性的累積值。(武器屬性值的強化有其上限)。","爆破属性の蓄積値を強化する。(武器の属性値の強化には、上限があります)。","Increases the rate of blast buildup. (Blast buildup has a maximum limit.)","3","爆破累積值變為1.2倍，爆破累積值+5。","爆破の蓄積値を1.2倍し、爆破の蓄積値に+5。","Blast buildup +20% Bonus: +5"
